,EFA,EWG,EWU,EWW,FEMKX,FLPSX,IJS,IJT,IVV,IWM,JUEAX,MACSX,MASKX,MDY,QQQ,SLYV,SPY,SWPPX,SWSSX,TGINX,VBIRX,VFIAX,VGENX,VGSLX,VTI,VTRIX,VTSAX,VVIAX,YACKX
EFA,1.0,0.9210505017471821,0.9198625659658989,0.7411590293324521,0.8189240979582272,0.8086428491683845,0.7722863481852928,0.7915308483688829,0.8686791530836481,0.8006192104984398,0.809182731574346,0.6698733588320019,0.7773737684298053,0.8338926075910286,0.760205714311781,0.7617578332283531,0.8716740143458029,0.8687951829574714,0.7758493186928748,0.32194819032095257,-0.1528342125020104,0.8705852845128242,0.7734634245894194,0.6609948200108314,0.8706098192046084,0.9300672598510842,0.8722153256141507,0.8643502899465836,0.7107949781726681
EWG,0.9210505017471821,1.0,0.8500050155011932,0.6844895652433748,0.7396832053832118,0.7510025200458877,0.7223741553176388,0.7417043028608927,0.811319088954235,0.7475563059637415,0.7579204029400185,0.5888512192792805,0.7270761235304519,0.7762215525350213,0.7202029414693333,0.7133229997392415,0.8114919554037935,0.8114897077638361,0.7282900702900568,0.3073182615177713,-0.15175598921789987,0.812984397320284,0.6975522884219942,0.598476285069676,0.8134822158398228,0.866027622155045,0.8145805974424011,0.8044494516648094,0.6657159332151215
EWU,0.9198625659658989,0.8500050155011932,1.0,0.7062096865245681,0.751414834213532,0.7650988950996839,0.7236735940057613,0.7353370512930321,0.8058006947070342,0.7400699760429528,0.7489465802382282,0.6042963475317176,0.7167768650647329,0.7820263904244561,0.6759975923278685,0.7206991996606541,0.8088680246398511,0.8077617767379233,0.719898195138983,0.3024365083930824,-0.15459553195554412,0.8090896048352316,0.7718604571221748,0.6287057636769723,0.8064175221535507,0.8742370952273567,0.8098373410689623,0.8222372163776334,0.676765888337695
EWW,0.7411590293324521,0.6844895652433748,0.7062096865245681,1.0,0.7393924690607608,0.6793679999870827,0.6606342035213129,0.6716263382525663,0.7093421979301882,0.6796954096828827,0.6610528186632706,0.5739188453020264,0.6652919958544474,0.7114860962263118,0.6190439297333274,0.6656116409704566,0.7132038121323472,0.7119125703774021,0.6580205413939507,0.3004860408009539,-0.1385522396572274,0.7138300489459479,0.659967133257615,0.5747431985782473,0.7179144823843618,0.7275852309739121,0.7208760678236729,0.7196934441414702,0.5921418935391105
FEMKX,0.8189240979582272,0.7396832053832118,0.751414834213532,0.7393924690607608,1.0,0.7151197033183764,0.6549305633921501,0.6935192605991981,0.7534779217450124,0.7038506307774367,0.7047371193310028,0.7812094359846384,0.684310211080701,0.7353988271589249,0.6931645452997613,0.6643404983677826,0.7577598284552821,0.753837781856578,0.6810713069264654,0.3557380334177211,-0.14012505782768578,0.7557190173082161,0.6981024012695445,0.5705368767147518,0.763657859558745,0.8428679951250535,0.7646939082162248,0.7174069064058536,0.6116730770659351
FLPSX,0.8086428491683845,0.7510025200458877,0.7650988950996839,0.6793679999870827,0.7151197033183764,1.0,0.8312194791064142,0.8390989236475034,0.838135571228161,0.8423286268859876,0.7878851655979293,0.5893778293008287,0.8251435693897385,0.8652712954158392,0.7291674012024376,0.82473834094728,0.8374981194854019,0.840340534791248,0.8208443070569331,0.29258265588822185,-0.18094066532673397,0.8420060707170347,0.7167163247562244,0.6643027371390158,0.8525990202516202,0.7818475422807963,0.854708342228797,0.8478979410955324,0.6963317428889078
IJS,0.7722863481852928,0.7223741553176388,0.7236735940057613,0.6606342035213129,0.6549305633921501,0.8312194791064142,1.0,0.9472012711727572,0.8495016232328082,0.9600533954583874,0.7911089470974173,0.5382736595441553,0.9378448210839478,0.933805955563551,0.7330223660052579,0.9548564384290164,0.8467551845931276,0.8503828209554044,0.9277290180533168,0.24934138462435274,-0.18697056182285435,0.8517623702029204,0.7041377619801321,0.7431988318128188,0.8729785094919086,0.7391256186782901,0.8764645200501695,0.8731275012833009,0.7083352825526328
IJT,0.7915308483688829,0.7417043028608927,0.7353370512930321,0.6716263382525663,0.6935192605991981,0.8390989236475034,0.9472012711727572,1.0,0.8892301015700333,0.9755218160970913,0.8321930550337102,0.5680472545373164,0.9539634006019463,0.9543918340573517,0.8079622676999374,0.9320325453015864,0.8846519434878553,0.8894227228721205,0.9468315215134627,0.2589402991395112,-0.18566855141851188,0.8909266980672136,0.6999830075036874,0.716080265976052,0.912165961123024,0.7519962883369206,0.9157669441389156,0.8746568959871697,0.7119122472283774
IVV,0.8686791530836481,0.811319088954235,0.8058006947070342,0.7093421979301882,0.7534779217450124,0.838135571228161,0.8495016232328082,0.8892301015700333,1.0,0.8925255546825109,0.924888458433342,0.6102336710105574,0.8630443793080794,0.9266023430360171,0.9087307141581844,0.835887518586711,0.9945795933501977,0.9925941599726412,0.8624338606832507,0.28031767465317015,-0.21174223296481867,0.9943342261367752,0.7401372475923504,0.7214055708530368,0.9917821887355972,0.809787568166241,0.9916292620260082,0.9556192688271056,0.7682210645839281
IWM,0.8006192104984398,0.7475563059637415,0.7400699760429528,0.6796954096828827,0.7038506307774367,0.8423286268859876,0.9600533954583874,0.9755218160970913,0.8925255546825109,1.0,0.8329041668879765,0.5728775707717015,0.9655368850187366,0.9596098690506132,0.8117858154367847,0.9327785527721952,0.8895298648377233,0.8899965149992325,0.9559132321963847,0.2608710542891677,-0.18760070618350155,0.8913552278524131,0.7031026806679415,0.7386349003950253,0.9143081593935753,0.7588899478853874,0.9177273054184015,0.8786759641261985,0.715428151836244
