ETF,Weight
VGSLX,0.07579024125290665
FEMKX,0.07549504415228496
VGENX,0.0726030947896456
TGINX,0.07217809057077218
YACKX,0.060562550679616335
MACSX,0.058530260526535975
VBIRX,0.04958685829473103
SWSSX,0.048069095967143455
EWU,0.041469310873499816
EWW,0.04071021606690461
QQQ,0.03789813651615497
IJT,0.037417649713925506
SWPPX,0.036998128232445984
MASKX,0.03481420256608848
EWG,0.03338831376699853
IVV,0.02681306818758373
EFA,0.026473397076834302
VTI,0.026161415748530894
VTRIX,0.021627302841645418
VTSAX,0.01886952305267379
VVIAX,0.017763645880449527
SLYV,0.014605893546818096
IWM,0.01311164147399394
VFIAX,0.01165941200786519
FLPSX,0.011583498820337122
MDY,0.010984364708281845
SPY,0.010073869475266792
IJS,0.009813471809163721
JUEAX,0.004948301400901575
