,EFA,EWG,EWU,EWW,FEMKX,FLPSX,IJS,IJT,IVV,IWM,JUEAX,MACSX,MASKX,MDY,QQQ,SLYV,SPY,SWPPX,SWSSX,TGINX,VBIRX,VFIAX,VGENX,VGSLX,VTI,VTRIX,VTSAX,VVIAX,YACKX
EFA,0.0,0.13122909300573884,0.12623378876380548,0.17983817850896958,0.19881527079614253,0.33788368132350366,1.0089790474242812,0.841134902932009,0.16266947099876913,0.9313262129346931,0.1804628752733295,0.5124304922923181,0.9918360272935621,0.5120159756882637,0.5931584534963636,0.9337159730551815,0.17496458935800616,0.16436663774581456,0.9361890204448025,0.8320796662254405,0.9759059014550617,0.16664294390768067,0.3257119590131678,0.5102060769317197,0.15676552410120378,0.13779345777156465,0.15294526517958065,0.21003032152827625,0.23478112686060226
EWG,0.13122909300573884,0.0,0.20844972953415292,0.19321225186311253,0.2684685882411409,0.4016761784055306,0.9996881317433247,0.8204676931781502,0.1661841089609321,0.9056979078298949,0.15937173255471823,0.6271158087485115,0.9659583002225481,0.4918947604957419,0.5474316262596958,0.931702447303759,0.17467410760374524,0.16121891371758718,0.9116329428810397,0.954180101182684,1.0976999903320084,0.16043169561244983,0.3547258510843001,0.515658751837788,0.14034544436404323,0.2554901989319925,0.12345126330563204,0.26494506335783946,0.36244001162280104
EWU,0.12623378876380548,0.20844972953415292,0.0,0.17859524998137705,0.30976982994012525,0.3591871644294978,1.0165164554281165,0.8918070749877403,0.2661008343763026,0.9764976443456302,0.285836599442371,0.5551066281086202,1.0349548140882232,0.5535877735877638,0.7117301156919437,0.9347735011805399,0.2764893429711444,0.26383543519056457,0.9783485561365829,0.8506051417456577,0.9936040019124994,0.2652882621750136,0.22455101917046247,0.4595156175059589,0.28063830571723775,0.161603064634455,0.2744951552989009,0.08756638076189334,0.21569886354534273
EWW,0.17983817850896958,0.19321225186311253,0.17859524998137705,0.0,0.31605563952411214,0.25741916050185704,0.8517825305006672,0.722652784453287,0.3229630460697624,0.8040208354475014,0.3286725593609212,0.5972587445707508,0.8621052607682933,0.3807396583777689,0.7089318752210373,0.7748699674400379,0.3348221747251747,0.32273429665555364,0.8056820241339006,0.9060829015919597,1.0487616903497061,0.32384764762618873,0.21958680484661913,0.3357931370786352,0.27225111039796834,0.19130101763897206,0.2591203374972907,0.2156616061388488,0.29158973655502013
FEMKX,0.19881527079614253,0.2684685882411409,0.30976982994012525,0.31605563952411214,0.0,0.33133951354864893,1.016732589710355,0.797732827403087,0.20678953949653686,0.8973558505459738,0.2208537189037188,0.3844966056334781,0.9589053101891699,0.5131944258834812,0.4989586967340321,0.9480985171874563,0.21532595516470865,0.21997091370825872,0.9058973407413077,0.7207154518744645,0.8611984924812853,0.22390827658391999,0.49748141250229094,0.6229736992423702,0.15803579341070198,0.2025655708922658,0.17266289445241007,0.3972909138724113,0.27503955321369344
FLPSX,0.33788368132350366,0.4016761784055306,0.3591871644294978,0.25741916050185704,0.33133951354864893,0.0,0.7312997999665498,0.5962696664189534,0.4694386198870166,0.6864469129554804,0.4805742031132863,0.46205534715188284,0.7432361670491384,0.31044817066898756,0.7877474087746149,0.6508758403697795,0.48188948672715365,0.4765612770077478,0.6875732846902444,0.7444614239588325,0.8798097988450599,0.4794824378029388,0.38807438357914953,0.37065620362798957,0.3944777326459836,0.23671801750341026,0.3913651091201245,0.40903657915318503,0.284947924872824
IJS,1.0089790474242812,0.9996881317433247,1.0165164554281165,0.8517825305006672,1.016732589710355,0.7312997999665498,0.0,0.36037024437349857,1.1247676972326182,0.30844740938917803,1.1210257201417004,1.1291609343841904,0.29506878067286185,0.5257139222762953,1.3204280328823395,0.09888006566337826,1.1358583838190641,1.1286657108593974,0.2840091733110263,1.3302445523355215,1.4320556046804358,1.130002126031265,0.9080981692887651,0.6321359906950509,1.0256671681018108,0.9505439324325902,1.0150817486313222,1.0303603486000514,1.0049606251218302
IJT,0.841134902932009,0.8204676931781502,0.8918070749877403,0.722652784453287,0.797732827403087,0.5962696664189534,0.36037024437349857,0.0,0.9178579783679321,0.1044898981543584,0.9090136886114399,0.9478857358015972,0.16404345123066366,0.34318411290116113,1.018400292957858,0.3690804040908841,0.9271732074831107,0.9238286021419524,0.11802176947781953,1.1881997271108118,1.2962027406146335,0.9251778699671735,0.8609947640211688,0.6529459844940214,0.8078016367890543,0.8011284292680184,0.8002494223241557,0.932850162345011,0.8768195139395759
IVV,0.16266947099876913,0.1661841089609321,0.2661008343763026,0.3229630460697624,0.20678953949653686,0.4694386198870166,1.1247676972326182,0.9178579783679321,0.0,1.0106073146265118,0.03330079044478904,0.5539851596200116,1.0722483048590625,0.6067680969090304,0.4510972532814064,1.0567065717682227,0.012782643183429409,0.014232554831587984,1.0187925742762,0.8782667032580591,1.0189720796029764,0.01813679536970723,0.4723961332846383,0.6584501944469867,0.1118389172090658,0.2789666905977527,0.11927352866796587,0.33816128848973476,0.35875917838333454
IWM,0.9313262129346931,0.9056979078298949,0.9764976443456302,0.8040208354475014,0.8973558505459738,0.6864469129554804,0.30844740938917803,0.1044898981543584,1.0106073146265118,0.0,1.0009592974305206,1.0483026537912843,0.06199672537547248,0.42396587728757856,1.108834147680623,0.3439050940109217,1.0199100193230408,1.0159186507493032,0.024602900641447337,1.282201388885265,1.387778814450113,1.0170875412108393,0.9295666450054728,0.7025089442927801,0.9011078578996624,0.893132884332582,0.8925359471767816,1.0123455128126777,0.9686289178922356
