ETF,Weight
VBIRX,0.30451651246798345
JUEAX,0.05000155956837152
FEMKX,0.04965646459544846
MACSX,0.046597726613116425
FLPSX,0.035465936555864594
VTI,0.030255635402652855
VTRIX,0.030219821492795628
SPY,0.029862763088139815
VVIAX,0.029852026062350673
IVV,0.02855783242385864
SWPPX,0.02810277310717338
YACKX,0.028001582622463717
VFIAX,0.02798470517758908
VTSAX,0.027229675677873204
EWU,0.02476006744524981
EFA,0.023522731486336008
QQQ,0.02263797565357971
MDY,0.022151617179416477
IJT,0.020005762253697663
SLYV,0.01987235005215936
IWM,0.018223271952615916
IJS,0.01821048649783781
SWSSX,0.017528304169659777
MASKX,0.017208603224052883
EWG,0.01590652285521512
VGENX,0.014057100853498051
VGSLX,0.011978664877360318
TGINX,0.007034741144644539
EWW,0.0005967854989949562
