OverlapAssets,Similarity,OverlapCount,Return_Traditional,Sharpe_Traditional,Return_Factor,Sharpe_Factor,SimID,FactorSimID,Avg_Return,Avg_Sharpe,Sharpe_Diff,Return_Diff,Num_Traditional_Portfolios,Num_Factor_Portfolios
"FLPSX,MACSX,TGINX,VGENX",0.8,4.0,0.1342029850176406,0.9752430106295517,0.1474303703536931,1.1104124310139518,[517],[4646],0.14081667768566686,1.0428277208217518,0.13516942038440016,0.0132273853360525,1,1
"MACSX,TGINX,YACKX",0.6,3.0,0.12712235288474005,1.0009079387369242,0.1185162263038584,1.0674075531590637,"[2001, 2023]",[2884],0.12281928959429922,1.034157745947994,0.06649961442213947,0.008606126580881654,2,1
"TGINX,VBIRX,VTSAX",0.6,3.0,0.0977949517459002,1.1823790705947366,0.068018895540143,0.8725568949533602,[3874],[970],0.0829069236430216,1.0274679827740485,0.3098221756413764,0.029776056205757198,1,1
"VBIRX,VTSAX,YACKX",0.6,3.0,0.0977949517459002,1.1823790705947366,0.1166668878242846,0.8018790417011428,[3874],[684],0.10723091978509239,0.9921290561479397,0.3805000288935938,0.018871936078384402,1,1
"FLPSX,IVV,JUEAX,TGINX,YACKX",0.8333333333333334,5.0,0.1371383241549636,1.0103299069349416,0.1383822215971894,0.9505781939360248,[693],[64],0.1377602728760765,0.9804540504354833,0.059751712998916795,0.0012438974422258053,1,1
"FEMKX,MACSX,TGINX,YACKX",0.6666666666666666,4.0,0.1218818539314162,1.0555462648192917,0.1118874810338018,0.8900305367731616,[2023],[1250],0.116884667482609,0.9727884007962266,0.16551572804613013,0.0099943728976144,1,1
"FLPSX,MACSX,VBIRX,VTI",0.6666666666666666,4.0,0.1009133000702887,1.0103094667613008,0.10600998648182,0.90163646500884,[1777],[491],0.10346164327605435,0.9559729658850704,0.10867300175246086,0.005096686411531298,1,1
"FLPSX,IVV,JUEAX,YACKX",0.6666666666666666,4.0,0.1371383241549636,1.0103299069349416,0.1595116836257706,0.8991558731818678,[693],[1646],0.1483250038903671,0.9547428900584047,0.11117403375307378,0.022373359470806986,1,1
"EWU,VBIRX,YACKX",0.6,3.0,0.1169642413337955,1.1037544247522133,0.1166668878242846,0.8018790417011428,[360],[684],0.11681556457904005,0.952816733226678,0.30187538305107053,0.0002973535095109059,1,1
"MACSX,VTI,YACKX",0.6,3.0,0.1323628518380639,0.9462696126545568,0.13765568055644434,0.9063868042701971,[2001],"[2049, 1996, 513]",0.13500926619725412,0.926328208462377,0.03988280838435965,0.005292828718380438,1,3
"IJT,TGINX,YACKX",0.6,3.0,0.13832036799519803,0.9153741878312711,0.133565301979634,0.9364175675443503,"[1931, 4822]",[2229],0.13594283498741602,0.9258958776878108,0.021043379713079235,0.0047550660155640245,2,1
"IJT,MACSX,SLYV,YACKX",0.6666666666666666,4.0,0.1444170743544871,0.8844040902691948,0.1509989289821224,0.9614420431933012,[309],[1611],0.14770800166830475,0.922923066731248,0.07703795292410642,0.006581854627635275,1,1
"FEMKX,QQQ,VBIRX,YACKX",0.6666666666666666,4.0,0.131461309195819,0.8334397858644369,0.1297578777759042,0.9960944418913992,[3982],[150],0.1306095934858616,0.9147671138779181,0.16265465602696227,0.0017034314199148026,1,1
"FEMKX,MACSX,SPY,TGINX,VFIAX,YACKX",0.75,6.0,0.1087549556145695,0.9325211376633594,0.1118874810338018,0.8900305367731616,[4711],[1250],0.11032121832418565,0.9112758372182606,0.04249060089019785,0.0031325254192322988,1,1
"FEMKX,FLPSX,SWSSX",0.6,3.0,0.108505311051804,1.0393734536665638,0.1248183202047663,0.7770828731627355,[682],[2875],0.11666181562828515,0.9082281634146496,0.26229058050382825,0.0163130091529623,1,1
"EWU,EWW,FLPSX,MACSX,TGINX,VBIRX",0.6,6.0,0.1160804807793739,0.9375866666244288,0.1190153804003962,0.8751611429408024,[4978],[1509],0.11754793058988505,0.9063739047826156,0.062425523683626416,0.0029348996210223077,1,1
"FEMKX,IVV,MACSX,SPY,TGINX,YACKX",0.6666666666666666,6.0,0.1087549556145695,0.9325211376633594,0.1155073483060973,0.8796116858058218,[4711],[630],0.11213115196033341,0.9060664117345907,0.05290945185753759,0.006752392691527789,1,1
"IVV,JUEAX,YACKX",0.6,3.0,0.1529944092837451,0.8657262906832737,0.1718544729364525,0.940774286092225,"[2954, 237]",[4302],0.1624244411100988,0.9032502883877493,0.07504799540895135,0.0188600636527074,2,1
"FLPSX,VGENX,YACKX",0.6,3.0,0.1669176930608472,0.8648031699764162,0.1653991347976083,0.9405081268024528,[667],[2557],0.16615841392922776,0.9026556483894345,0.07570495682603662,0.001518558263238906,1,1
"FLPSX,IWM,MACSX,SPY,YACKX",0.625,5.0,0.1617123790699811,1.0529010019403964,0.1155889390244086,0.7438065724642555,[4612],[1077],0.13865065904719484,0.898353787202326,0.30909442947614085,0.04612344004557249,1,1
"EWW,FLPSX,MACSX,TGINX,VFIAX",0.625,5.0,0.1186642470172711,0.8046932959531757,0.1219336632000504,0.9861226900969856,[2167],[1742],0.12029895510866076,0.8954079930250807,0.18142939414380987,0.003269416182779303,1,1
"IVV,SWSSX,YACKX",0.6,3.0,0.15771519374669152,0.842889735864431,0.1718544729364525,0.940774286092225,"[3228, 1918]",[4302],0.164784833341572,0.891832010978328,0.09788455022779408,0.01413927918976099,2,1
"FEMKX,FLPSX,TGINX",0.6,3.0,0.11933321005986025,0.9581969114871152,0.1147806434174091,0.8242007109584748,"[682, 4762]",[3879],0.11705692673863467,0.891198811222795,0.13399620052864036,0.004552566642451156,2,1
"MACSX,VVIAX,YACKX",0.6,3.0,0.13744793985750195,0.8801342119060537,0.14485020060937248,0.8958608279743239,"[3354, 1123]","[513, 1051]",0.1411490702334372,0.8879975199401888,0.015726616068270194,0.007402260751870532,2,2
"IJS,QQQ,YACKX",0.6,3.0,0.1589591941203814,0.8376276706068158,0.1699454199436935,0.9380549448518408,[1760],[3372],0.16445230703203745,0.8878413077293283,0.10042727424502507,0.010986225823312101,1,1
"SWSSX,VBIRX,VVIAX",0.6,3.0,0.0752680015521468,0.8830302102645731,0.1415574644910566,0.8902127324756486,[2878],[1194],0.1084127330216017,0.8866214713701108,0.007182522211075515,0.0662894629389098,1,1
"FEMKX,MACSX,VTSAX,YACKX",0.6666666666666666,4.0,0.11668424083808096,0.9439111468825209,0.1473486528881103,0.8228115016752634,"[4561, 353]",[882],0.13201644686309563,0.8833613242788921,0.12109964520725747,0.030664412050029344,2,1
