PortfolioID,AnnualReturn,Volatility,Sharpe,ETFs,Weights
0,0.1126470271301618,0.18371993080044002,0.6131453818830417,"QQQ,MASKX,IWM,TGINX,EWW,EWG,SWPPX,VTI","0.2011271367483255,0.0023584440308004094,0.0462635617417181,0.11842022882341376,0.1460534639875307,0.16231147745541813,0.152834651186806,0.17063103602598742"
1,0.10021381964210901,0.16888689682858346,0.5933782994652561,"VVIAX,VTSAX,QQQ,IJS,SPY,VGSLX,IJT,VTI,VBIRX,EFA","0.12597401071830405,0.019040595443167482,0.020732951862041174,0.03325857764716353,0.19621721670678935,0.09503709721528436,0.15924844371723545,0.15595082073584363,0.14269460899582628,0.05184567695834472"
2,0.13163888261137388,0.2233299924659197,0.5894366500346435,"QQQ,SWSSX,MASKX,VTRIX,IJT","0.08103623748540965,0.2719097035639496,0.2291574127868526,0.08690501805697887,0.3309916281068093"
3,0.11638452211604097,0.19509933605701837,0.5965398164247326,"SPY,EWW,FLPSX,IJS,VVIAX,VTRIX,JUEAX,VFIAX,IWM,MDY,MACSX","0.13400502528895278,0.0789602337410684,0.03747416299365546,0.03982777060310149,0.06781509234568842,0.1864656604991616,0.031507130367953655,0.05941332189801765,0.14945492823877465,0.1957095757038974,0.01936709831972854"
4,0.12214493476275437,0.2046065819840368,0.5969746113655522,"VGENX,VTI,IJS,IVV,EWG,VGSLX,IJT,SWSSX,VTRIX","0.17164313223574096,0.10456662967968781,0.1676261585218989,0.1484009311893781,0.008168143791068457,0.05331041006621783,0.050328429148395165,0.15409983038543137,0.1418563349821814"
5,0.11095006704336728,0.15488929065057847,0.7163185174219978,"EWU,EWG,VTRIX,YACKX,VBIRX,VVIAX,TGINX,SWSSX,FLPSX,SLYV,MACSX,MDY","0.14964834648616232,0.0687812370375225,0.08276677535134887,0.15775123356884932,0.0664130005454378,0.16152564560972268,0.11210701924048364,0.025425949129217744,0.06037684213180974,0.014752447230324022,0.008896736332291573,0.09155476733682985"
6,0.09779675896797099,0.12075302864336519,0.8098907337289751,"IVV,TGINX,VTSAX,SWPPX,YACKX,EWU,VVIAX,VTRIX,FEMKX,MACSX,SPY,VBIRX","0.139446762062891,0.16881662126097882,0.015432742071199764,0.023295137110837413,0.0820370326831711,0.05960410864037923,0.0384797972435877,0.15400436751104193,0.019248589235795303,0.1579723868402494,0.025286046694269912,0.11637640864559831"
7,0.10890865977815456,0.19599181052538356,0.5556796454209469,"MDY,EFA,IWM,IJS,VBIRX,EWG,MACSX,VTI,SWPPX","0.07942598272449167,0.13033585216539423,0.20515006187381024,0.1129217467925832,0.0071712459321194785,0.04325566661951941,0.058684429599645566,0.22152521736867004,0.14152979692376622"
8,0.13777656570441899,0.1802426538673481,0.7643949018073014,"VVIAX,FLPSX,EWW,VTRIX,YACKX,EWU,IWM,IVV","0.2771916230436419,0.17668014265964768,0.06548456090490093,0.08020883883886347,0.1958135436449118,0.018858982201006826,0.0973953820990272,0.08836692660800022"
9,0.11441835849042475,0.16460707107709419,0.6950998990610592,"VGSLX,VBIRX,SLYV,IJS,MACSX,VTRIX,YACKX,IVV,MDY,FLPSX,VVIAX","0.08452011687346443,0.10947670136232689,0.10819555661448482,0.026298817141735428,0.053151021623851616,0.09610518851502475,0.08792061203249588,0.12334451672341946,0.13713492186081105,0.059342353687546374,0.11451019356483923"
